Pressure(bar),Loading(mol/m3)
1e-06,0.0
2.285714286e-06,0.0009630000000000001
3.571428571e-06,0.000482
4.857142857e-06,0.0009630000000000001
6.142857143e-06,0.000482
7.428571429000001e-06,0.003372
8.714285714e-06,0.0014449999999999999
1e-05,0.003372
2.2857142860000002e-05,0.010597
3.571428571e-05,0.010115
4.857142857e-05,0.013005000000000001
6.142857142999999e-05,0.015413999999999999
7.428571429e-05,0.022639
8.714285714e-05,0.018304
0.0001,0.033718
0.0002285714286,0.065509
0.0003571428571,0.110305
0.0004857142857,0.116567
0.0006142857143,0.164253
0.0007428571429,0.210495
0.0008714285714000001,0.237469
0.001,0.273113
0.002285714286,0.66472
0.0035714285710000005,1.029352
0.004857142857,1.4079540000000001
0.006142857142999999,1.7451299999999998
0.007428571429,2.148779
0.008714285714,2.48162
0.01,2.831802
0.02285714286,6.5132900000000005
0.03571428571,10.188516
0.04857142857,13.809312
0.06142857143,17.467679
0.07428571429,21.158801
0.08714285714,24.855701999999997
0.1,28.437964
0.2285714286,65.405534
0.35714285710000004,102.137562
0.48571428569999997,139.930252
0.6142857143,175.412318
0.7428571429,212.688165
0.8714285714,248.38313399999998
1.0,286.936398
2.285714286,667.465338
3.571428571,1047.288014
4.857142857,1444.0145380000001
6.142857143,1848.3573350000001
7.428571429,2234.97188
8.714285714,2632.13685
10.0,3029.0891579999998
22.85714286,6725.042766
35.714285710000006,9270.611341
48.57142857,10805.51026
61.42857142999999,11791.944966
74.28571429,12550.492648000001
87.14285714,13119.035649
100.0,13546.608030000001
228.5714286,15724.277024
357.1428571,16732.205688
485.7142857,17353.255558
614.2857143,17815.64016
871.4285714,18334.354799
1000.0,18620.101275999998
2285.714286,19823.003516
3571.4285710000004,20457.498819999997
4857.142857,20650.479557
6142.857142999999,20999.749556
7428.571429,21131.454106999998
8714.285714,21477.756228
10000.0,21541.328754
22857.14286,22258.757986
35714.28571,22487.403146
48571.42857,22894.734028
61428.57143,23088.17211
74285.71429,23229.798918
87142.85714,23329.382644
742.8571429000001,18164.561729
871.4285714,18353.359161
10000.0,21504.340527
22857.14286,22276.468154
35714.28571,22632.826244
48571.42857,22792.210430000003
61428.57143,22998.958676
74285.71429,23173.532582
87142.85714,23401.180080000002
